Year,m,d,Time,Time zone,Cloud amount (1/8),Precipitation amount (mm),Precipitation intensity (mm/h),Air temperature (degC)
2016,5,4,08:30,UTC,0,,0,18.3
2016,5,4,08:40,UTC,0,,0,18.5
2016,5,4,08:50,UTC,0,,0,17.7
2016,5,4,09:00,UTC,0,0,0,17.7
2016,5,4,09:10,UTC,0,,0,17.7
2016,5,4,09:20,UTC,0,,0,17.6
2016,5,4,09:30,UTC,0,,0,17.6
2016,5,4,09:40,UTC,0,,0,18
2016,5,4,09:50,UTC,0,,0,17.4
2016,5,4,10:00,UTC,0,0,0,17.3
2016,5,4,10:10,UTC,0,,0,17.1
2016,5,4,10:20,UTC,0,,0,17.3
2016,5,4,10:30,UTC,0,,0,17.7
2016,5,4,10:40,UTC,0,,0,17
2016,5,4,10:50,UTC,0,,0,17
2016,5,4,11:00,UTC,0,0,0,17.2
2016,5,4,11:10,UTC,0,,0,16.7
2016,5,4,11:20,UTC,0,,0,16.3
2016,5,4,11:30,UTC,0,,0,16.7
2016,5,4,11:40,UTC,0,,0,16.7
2016,5,4,11:50,UTC,0,,0,17.1
2016,5,4,12:00,UTC,0,0,0,17.6
2016,5,4,12:10,UTC,0,,0,17.8
2016,5,4,12:20,UTC,0,,0,17.2
2016,5,4,12:30,UTC,0,,0,17.4
2016,5,4,12:40,UTC,0,,0,17.7
2016,5,4,12:50,UTC,0,,0,17.7
2016,5,4,13:00,UTC,0,0,0,17.9
2016,5,4,13:10,UTC,0,,0,17.5
2016,5,4,13:20,UTC,0,,0,17.6
2016,5,4,13:30,UTC,0,,0,17.6
2016,5,4,13:40,UTC,0,,0,17.4
2016,5,4,13:50,UTC,0,,0,17.5
2016,5,4,14:00,UTC,0,0,0,17.4
2016,5,4,14:10,UTC,0,,0,17.6
2016,5,4,14:20,UTC,0,,0,17.7
2016,5,4,14:30,UTC,0,,0,17.5
2016,5,4,14:40,UTC,0,,0,17.8
2016,5,4,14:50,UTC,0,,0,17.7
2016,5,4,15:00,UTC,0,0,0,17.7
2016,5,4,15:10,UTC,0,,0,17.4
2016,5,4,15:20,UTC,0,,0,17.5
2016,5,4,15:30,UTC,0,,0,17.6
2016,5,4,15:40,UTC,0,,0,17.7
2016,5,4,15:50,UTC,0,,0,17.5
2016,5,4,16:00,UTC,0,0,0,17.5
2016,5,4,16:10,UTC,0,,0,17.8
2016,5,4,16:20,UTC,0,,0,17.5
2016,5,4,16:30,UTC,0,,0,17.7
2016,5,4,16:40,UTC,0,,0,17.9
2016,5,4,16:50,UTC,0,,0,18
2016,5,4,17:00,UTC,0,0,0,18
2016,5,4,17:10,UTC,0,,0,17.9
2016,5,4,17:20,UTC,0,,0,17.8
2016,5,4,17:30,UTC,0,,0,17.7
2016,5,4,17:40,UTC,0,,0,17.5
2016,5,4,17:50,UTC,0,,0,17.2
2016,5,4,18:00,UTC,0,0,0,17
2016,5,4,18:10,UTC,0,,0,16.9
2016,5,4,18:20,UTC,0,,0,16.7
2016,5,4,18:30,UTC,0,,0,16.3
2016,5,4,18:40,UTC,0,,0,16.3
2016,5,4,18:50,UTC,0,,0,16.1
2016,5,4,19:00,UTC,0,0,0,16.2
2016,5,4,19:10,UTC,0,,0,16
2016,5,4,19:20,UTC,0,,0,16
2016,5,4,19:30,UTC,0,,0,16
2016,5,4,19:40,UTC,0,,0,15.7
2016,5,4,19:50,UTC,0,,0,15.6
2016,5,4,20:00,UTC,0,0,0,15.2
2016,5,4,20:10,UTC,0,,0,15.1
2016,5,4,20:20,UTC,0,,0,14.8
2016,5,4,20:30,UTC,0,,0,14.7
2016,5,4,20:40,UTC,0,,0,14.2
2016,5,4,20:50,UTC,0,,0,13.6
2016,5,4,21:00,UTC,0,0,0,13.3
2016,5,4,21:10,UTC,0,,0,13.1
2016,5,4,21:20,UTC,0,,0,12.9
2016,5,4,21:30,UTC,0,,0,12.6
2016,5,4,21:40,UTC,0,,0,12.3
2016,5,4,21:50,UTC,0,,0,12.1
2016,5,4,22:00,UTC,0,0,0,11.8
2016,5,4,22:10,UTC,0,,0,11.8
2016,5,4,22:20,UTC,0,,0,11.7
2016,5,4,22:30,UTC,0,,0,11.4
2016,5,4,22:40,UTC,0,,0,11.4
2016,5,4,22:50,UTC,0,,0,11.2
2016,5,4,23:00,UTC,0,0,0,11.5
